date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:21	57693/57693	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:21%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/1v1lol.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/1v1lol.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:21	6453/6453	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:22%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/basketstars.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/basketstars.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:21	21510/21510	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:22%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/basketstars.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/basketstars.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:22	852618/852618	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:22%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/roblox.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/roblox.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:22	6439/6439	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:23%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/bitlife.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/bitlife.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:23	14344/14344	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:23%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/bitlife.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/bitlife.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:23	6451/6451	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:24%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/run3.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/run3.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:23	34194/34194	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:24%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/run3.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/run3.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:24	6430/6430	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:24%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/fnaw.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/fnaw.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:24	7454/7454	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:25%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/fnaw.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/fnaw.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:24	6444/6444	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:25%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/stickmanhook.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/stickmanhook.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:25	73302/73302	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2002:04:25%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/stick.png	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/stick.png	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:25	6453/6453	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:26%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/dante.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/dante.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:25	64180/64180	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:26%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/dante.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/dante.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:26	6484/6484	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:26%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/ubg64.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/ubg64.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:26	159691/159691	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2002:04:27%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/ubg64.png	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/ubg64.png	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:26	6470/6470	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:27%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/mario64.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/mario64.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:27	184117/184117	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:27%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/sm64.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/sm64.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:27	7256/7256	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:28%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/alienhominid.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/alienhominid.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:28	40169/40169	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:28%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/hominid.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/hominid.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:28	6467/6467	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:29%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/baldi.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/baldi.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:28	48407/48407	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:29%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/baldi.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/baldi.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:29	18877/18877	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:29%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/melonplayground.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/melonplayground.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:29	6436/6436	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:30%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/vex6.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/vex6.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:30	12709/12709	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:30%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/vex6.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/vex6.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:30	6453/6453	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:31%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/fnaf1.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/fnaf1.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:30	179812/179812	---M--	200	added ('OK')	image/webp	date:Tue,%2004%20Jun%202024%2002:04:31%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/FNaF1.webp	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/FNaF1.webp	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:31	6437/6437	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:31%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/slope.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/slope.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:31	53732/53732	---M--	200	added ('OK')	image/webp	date:Tue,%2004%20Jun%202024%2002:04:32%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/Slope.webp	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/Slope.webp	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:31	6445/6445	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:32%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/cookieclicker.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/cookieclicker.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:32	515272/515272	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2002:04:32%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/cookieclicker.png	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/cookieclicker.png	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:32	6436/6436	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:33%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/2048.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/2048.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:33	53037/53037	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:33%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/2048.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/2048.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:33	6460/6460	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:34%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/fnf.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/fnf.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:33	200201/200201	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2002:04:34%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/fnf.png	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/fnf.png	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:34	6457/6457	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:34%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/eggycar.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/eggycar.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:34	307601/307601	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2002:04:35%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/eggy.png	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/eggy.png	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:34	7252/7252	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:35%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/raftwars.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/raftwars.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:35	22296/22296	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:04:35%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/raft.jpg	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/Images/raft.jpg	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
22:04:35	7251/7251	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2002:04:36%20GMT	https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/catninja.html	C:/My%20Web%20Sites/mmv3/12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/assignments/catninja.html	(from https://12a54ed7-e4f3-4ebe-b2c5-7de5c7f8462f-00-2pz75lpsgkbpx.worf.replit.dev/class.html)
